57, 77, 40, 38, 30, 51, 80, 67, 95, 60, 88, 40, 62, 41, 0, 10, 64, 42, 75, 27, 27, 37, 86, 87, 19, 84, 11, 85, 4, 94, 11, 19, 81, 61, 15
52, 77, 48, 29, 23, 41, 87, 69, 94, 65, 89, 49, 60, 50, 10, 0, 59, 37, 76, 31, 30, 36, 88, 92, 27, 91, 2, 92, 6, 92, 1, 25, 84, 59, 25
10, 34, 73, 41, 37, 47, 91, 44, 40, 55, 49, 73, 18, 72, 64, 59, 0, 22, 40, 49, 46, 31, 57, 79, 61, 91, 57, 88, 62, 41, 59, 56, 56, 16, 68
15, 46, 59, 24, 16, 34, 85, 47, 59, 52, 60, 59, 27, 58, 42, 37, 22, 0, 48, 33, 29, 17, 64, 79, 43, 87, 35, 85, 40, 58, 38, 38, 62, 25, 49
48, 10, 62, 72, 61, 82, 60, 11, 29, 28, 13, 61, 23, 59, 75, 76, 40, 48, 0, 49, 48, 40, 16, 42, 62, 58, 74, 53, 76, 26, 77, 59, 17, 26, 71
47, 53, 26, 45, 31, 59, 58, 40, 73, 33, 62, 26, 41, 25, 27, 31, 49, 33, 49, 0, 4, 18, 59, 61, 14, 62, 30, 61, 29, 70, 33, 9, 54, 41, 22
43, 51, 30, 42, 27, 55, 61, 40, 70, 35, 61, 30, 38, 29, 27, 30, 46, 29, 48, 4, 0, 15, 59, 63, 16, 64, 28, 64, 28, 68, 31, 11, 54, 38, 24
29, 41, 43, 36, 23, 49, 68, 35, 58, 36, 53, 43, 25, 42, 37, 36, 31, 17, 40, 18, 15, 0, 54, 64, 31, 70, 34, 69, 37, 57, 37, 26, 50, 24, 38
65, 24, 65, 88, 76, 98, 52, 19, 37, 30, 13, 64, 39, 62, 86, 88, 57, 64, 16, 59, 59, 54, 0, 30, 71, 49, 86, 43, 87, 33, 89, 68, 6, 42, 79
85, 52, 54, 101, 87, 113, 25, 35, 67, 29, 43, 53, 61, 51, 87, 92, 79, 79, 42, 61, 63, 64, 30, 0, 68, 20, 91, 14, 89, 63, 94, 68, 26, 64, 76
58, 67, 22, 49, 36, 63, 61, 53, 86, 43, 75, 22, 54, 23, 19, 27, 61, 43, 62, 14, 16, 31, 71, 68, 0, 65, 26, 66, 22, 84, 28, 5, 65, 54, 9
95, 68, 46, 105, 91, 119, 6, 49, 86, 36, 62, 45, 74, 44, 84, 91, 91, 87, 58, 62, 64, 70, 49, 20, 65, 0, 90, 6, 87, 82, 93, 66, 44, 76, 71
50, 75, 48, 28, 21, 40, 86, 67, 91, 63, 87, 49, 58, 49, 11, 2, 57, 35, 74, 30, 28, 34, 86, 91, 26, 90, 0, 91, 7, 90, 3, 24, 82, 57, 25
92, 63, 49, 104, 90, 117, 12, 45, 80, 33, 56, 48, 70, 46, 85, 92, 88, 85, 53, 61, 64, 69, 43, 14, 66, 6, 91, 0, 88, 76, 93, 67, 38, 72, 72
55, 77, 43, 35, 27, 47, 83, 68, 95, 62, 89, 44, 61, 45, 4, 6, 62, 40, 76, 29, 28, 37, 87, 89, 22, 87, 7, 88, 0, 93, 7, 21, 82, 60, 19
51, 18, 86, 81, 74, 87, 84, 37, 4, 54, 20, 86, 32, 84, 94, 92, 41, 58, 26, 70, 68, 57, 33, 63, 84, 82, 90, 76, 93, 0, 93, 80, 37, 34, 92
52, 78, 50, 28, 23, 40, 89, 70, 94, 66, 90, 50, 61, 51, 11, 1, 59, 38, 77, 33, 31, 37, 89, 94, 28, 93, 3, 93, 7, 93, 0, 26, 85, 60, 26
53, 63, 25, 45, 31, 59, 62, 50, 82, 41, 72, 25, 50, 26, 19, 25, 56, 38, 59, 9, 11, 26, 68, 68, 5, 66, 24, 67, 21, 80, 26, 0, 63, 50, 13
64, 26, 59, 85, 73, 96, 47, 15, 41, 24, 18, 58, 38, 56, 81, 84, 56, 62, 17, 54, 54, 50, 6, 26, 65, 44, 82, 38, 82, 37, 85, 63, 0, 41, 74
23, 21, 63, 49, 40, 57, 76, 28, 34, 40, 36, 62, 3, 61, 61, 59, 16, 25, 26, 41, 38, 24, 42, 64, 54, 76, 57, 72, 60, 34, 60, 50, 41, 0, 62
64, 75, 25, 51, 39, 64, 66, 61, 95, 51, 84, 26, 62, 27, 15, 25, 68, 49, 71, 22, 24, 38, 79, 76, 9, 71, 25, 72, 19, 92, 26, 13, 74, 62, 0
